ID,smiles
218,CC(C)(CN1CCN(CC1)C)NS(=O)(=O)C2=CC=C(C=C2)Cl
219,CN(CC(=O)NC1=C(C(=C(C=C1)F)F)F)C2=NC=CN=C2
220,CC1=CC=C(C=C1)N2C=CC=C2C(=S)N=P(N(C)C)(N(C)C)N(C)C
221,C1CC(CN(C1)S(=O)(=O)C2=CC=CC=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4
222,CCCSC1=NN=C(S1)SC2=NN=NN2C3=CC=CC=C3
223,C1=C(OC2=C(C1=O)C(=C(C(=C2F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
224,COCCN1C2=CC=CC=C2N=C1SCC(=O)NC(=O)NCC3=CC=CC=C3
225,CCOC(=O)C1=C(SC=C1C2=CC=C(O2)C)NC(=O)CSC3=NN=NN3C4=CC=CC=C4
226,CN1CCC(CC1)N(C)CC(=O)NC2=CC(=CC=C2)OC3=CC=CC=C3.C(=O)(C(=O)O)O
227,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)N3C(=O)C4=CC=CC=C4S3
228,CC1=CC(=NC(=N1)N2C(=C(C(=N2)C)SC3=CC=C(C=C3)F)N)C
229,C1=CSC(=C1)C(=O)NC2=NC(=CS2)C3=CC=C(S3)Cl
230,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(=O)CCC3=NC4=CC=CC=C4C(=O)N3
231,C1CN(CCN1C/C=C/C2=CC=CC=C2)CC3=NC4=C(C=CC(=C4)Cl)C(=O)N3
232,CC1=CC(=C(C#N)C2=NC3=CC=CC=C3S2)C=C(N1CC4=CC=CO4)C
233,COC1=CC=C(C=C1)C2=NCC(S2)CSC3=NN=C(O3)C4=CC5=C(C=C4)OCO5
234,CC\1(C2=CC=CC=C2N(/C1=C\C(=O)COC3=CC4=C(C=C3)OCO4)C)C
235,C1=CC=C\2C(=C1)C(=N/C2=N\C3=CC=CC=N3)NC4=CC=CC=N4
236,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)C2=NN=C(O2)SCCCC(=O)C3=CC=CC=C3
237,CN1C=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC=N3
238,C1COCCN1CC2=NC(=C3C(=CSC3=N2)C4=CC=CS4)NCC5=CC6=C(C=C5)OCO6
239,CN(C)CC1=NC2=CC=CC=C2C(=O)N1CC3=NC(=CS3)C4=CC5=CC=CC=C5O4
240,CC1=C(SC(=C1C(=O)OC)NC(=O)CN2CCN(CC2)CC3=CC4=C(C=C3)OCO4)C.C(=O)(C(=O)O)O
241,COC1=C2C(=CC=C1)SC(=N2)NC3=NN=C(O3)C4=CC=CC=C4OC
242,CC1=C(C(N2C(=NN=N2)N1)C3=CN=CC=C3)C(=O)OC4CCCCC4
243,COC1=CC=C(C=C1)C2=NN=C(O2)NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCC5=CC=CC=C5C4
244,CC1=CC=C(C=C1)N=C2C(=CC3=C(O2)C=C(C=C3)O)C(=O)N
245,CCC1=CC=C(C=C1)C2=NC(=C(O2)C)CN3CCCC(C3)C(=O)NCCC4=CC(=C(C=C4)OC)OC
246,CCN1C=C(C(=O)C2=C1C=CC(=C2)S(=O)(=O)N3CCC4=CC=CC=C4C3)C(=O)NCC5=CC=CO5
247,CC1=C(C=CC(=C1)S(=O)(=O)NCC(C2=CN=CC=C2)N3CCN(CC3)C4=CC=CC=C4)OC
248,CN(C)C1=NC2=CC(=C(C=C2C(=N1)N)OC)OC.Cl
249,C1=CC(=CN=C1)CN(CC2=CC=CO2)C(=O)NC3=CC(=C(C=C3)Cl)Cl
250,COC1=CC=CC=C1N2CCN(CC2)C(CNC(=O)OC3=CC=CC=C3)C4=CN=CC=C4
251,CN1CCN(CC1)C2=NC(=NC(=N2)NC3=CC=CC(=C3)C(F)(F)F)N4CCOCC4
252,CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
253,COC1=CC2=NC3=C(C=C2C=C1)C=C(O3)C(=O)NCCN4CCN(CC4)CC5=CC=CC=C5
