,ID,smiles,moleculas
143,143,CCC(=NCCCN(CC)CC)C1=C(N(C(=O)NC1=O)C2CCCCC2)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E880>
144,144,C1C(NC2=NC(=NN2C1C3=CC=CS3)N)C4=CC=C(C=C4)Br,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E8E0>
145,145,COC1=CC=C(C=C1)CNC2=C(N=C(O2)COC3=CC=C(C=C3)Cl)C#N,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E940>
146,146,C1CN(CCN1C2=NN=C(C3=CC=CC=C32)C4=CC=CC=C4)C(=O)COC5=CC=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79E9A0>
147,147,C1=CC=C2C(=C1)N=NN2C3=C(C=C(C(=C3)C#N)C#N)OC4=CC=CC5=C4N=CC=C5,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79EA00>
148,148,CCOC(=O)C1=CN=C(N=C1NCC2=CC=CC=C2)N3C(=CC(=N3)C)C,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79EA60>
149,149,C1=CC=C(C=C1)S(=O)(=O)C/C(=C/CO)/S(=O)(=O)C2=CC=CC=C2,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79EAC0>
150,150,CC1CN(CC(O1)C)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)OC4CCCCC4,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79EB20>
151,151,CCCCN1C(=C(C(=O)NC1=O)C(=NCCCN(CC)CC)C)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79EB80>
152,152,CCCCN1C(=C(C(=O)NC1=O)C(=NCCCN(C)C)CC)O,<rdkit.Chem.rdchem.Mol object at 0x0000018DFF79EBE0>
